nombre,altura,diametro,inclinacion,origen
Ceibo,10,35,0,Autóctono
Palo borracho rosado,10,50,0,Autóctono
Jacarandá,5,10,0,Autóctono
Ceibo,4,15,0,Autóctono
Ceibo,6,30,0,Autóctono
Palo borracho rosado,5,26,0,Autóctono
Jacarandá,8,22,0,Autóctono
Ceibo,7,32,0,Autóctono
Jacarandá,7,25,0,Autóctono
Palo borracho rosado,5,20,0,Autóctono
Espinillo,4,30,0,Autóctono
Eucalipto,25,35,0,Exótico
Lapacho,7,21,0,Autóctono
Eucalipto,25,61,10,Exótico
Lapacho,2,1,0,Autóctono
Tipa blanca,25,40,5,Autóctono
Ceibo,15,73,17,Autóctono
